filename	label	url	mandatory_credit	source_page
clocher_vertical.jpg	Clocher de l'Église Saint-Jacques — vue verticale	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/clocher_2518_2019_vertical-scaled.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
clocher_illumination.jpg	Clocher de l'Église Saint-Jacques — illumination	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/clocher_illumination_1118_hr-scaled.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
uqam_laval_0265.jpg	Campus UQAM à Laval — 0265	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/UQAM_Laval_0265_hr_1-scaled.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
uqam_laval_0192.jpg	Campus UQAM à Laval — 0192	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/UQAM_Laval_0192_hr_1-scaled.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
uqam_laval_0117.jpg	Campus UQAM à Laval — 0117	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/UQAM_Laval_0117_hr_1-scaled.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
uqam_laval_0164.jpg	Campus UQAM à Laval — 0164	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/UQAM_Laval_0164_hr_1-scaled.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
centre_pierre_peladeau.jpg	Centre Pierre-Péladeau	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/Centre_Pierre-Peladeau_hr-scaled.jpg	Martine Doyon – Partenariat du Quartier des spectacles	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
pavillon_saint_denis_ab.jpg	Pavillon Saint-Denis (AB)	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/AB_hr-scaled.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
pavillon_entrepreneuriat_c.jpg	Pavillon de l'Entrepreneuriat et de l'innovation (C)	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2025/09/Photo_pavillon_C-scaled.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
centre_sportif_cs.jpg	Centre sportif (CS)	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/CS_hr.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
pavillon_de_seve_ds.jpg	Pavillon J.-A.-DeSève (DS)	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/DS_hr.jpg	Photo UQAM © Michel Brunelle	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
pavillon_judith_jasmin_j.jpg	Pavillon Judith-Jasmin (J)	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/J_hr.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
pavillon_paul_gerin_lajoie_n.jpg	Pavillon Paul-Gérin-Lajoie (N)	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/N_hr-scaled.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
pavillon_president_kennedy_pk.jpg	Pavillon Président-Kennedy (PK)	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/PK_hr-scaled.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
centre_pierre_peladeau_q.jpg	Centre Pierre-Péladeau (Q)	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/Q_hr-scaled.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
pavillon_sciences_gestion_r.jpg	Pavillon des Sciences de la gestion (R)	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/R_hr.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
residences_etudiantes_rl.jpg	Résidences étudiantes du Complexe des sciences (RL)	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/RL_hr.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
pavillon_sciences_biologiques_sb.jpg	Pavillon des Sciences biologiques (SB)	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/SB_hr-scaled.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
pavillon_sherbrooke_sh.jpg	Pavillon Sherbrooke (SH)	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/SH_hr.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
pavillon_sainte_catherine_est_v.jpg	Pavillon Sainte-Catherine Est (V)	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/V_hr.jpg	Photo UQAM	https://salledepresse.uqam.ca/banque-de-photos/photos-de-pavillons/
